Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Clementi 321,Ne-Zha-2-PG13,2025-03-10T19:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6003,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,20,28,12,0,0,2,0,0,32,30,62,0.52
Downtown East,Ne-Zha-2-PG13,2025-03-10T19:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118054,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,3,93,6,34,0,1,0,0,9,128,137,0.07
JEM,Ne-Zha-2-PG13,2025-03-10T19:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201738,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,23,103,12,20,0,0,0,0,35,123,158,0.22
Century Square,Mobile-Suit-Gundam-GQuuuuuuX--Beginning-PG13,2025-03-10T19:00:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13230,"Anime, Action, Sci-Fi",Japanese,"PG13, Brief Nudity and Battle Scenes",82 mins,27-Feb-25,6,94,0,10,0,2,0,4,6,110,116,0.05
JEM,Mickey-17-M18,2025-03-10T19:15:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201995,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,6-Mar-25,8,76,2,22,0,0,0,0,10,98,108,0.09
Century Square,Ex-Ex-Lovers-PG13,2025-03-10T19:15:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13215,"Romance, Comedy",Tagalog,"PG13, Some Coarse Language",107 mins,6-Mar-25,3,95,0,4,0,2,0,4,3,105,108,0.03
Causeway Point,Ne-Zha-2-PG13,2025-03-10T19:25:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1102/154365,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,36,108,26,18,0,2,0,0,62,128,190,0.33
Century Square,Ne-Zha-2-PG13,2025-03-10T19:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1113/13234,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,22,78,6,4,0,2,0,4,28,88,116,0.24
Clementi 321,Ne-Zha-2-PG13,2025-03-10T19:30:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1114/5999,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,11,13,0,0,0,0,0,0,11,13,24,0.46
Downtown East,Ne-Zha-2-PG13,2025-03-10T19:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118069,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,20,156,0,50,0,2,0,0,20,208,228,0.09
JEM,Ne-Zha-2-PG13,2025-03-10T19:30:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1110/201629,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,2,0,8,14,0,0,0,0,10,14,24,0.42
JEM,Ne-Zha-2-PG13,2025-03-10T19:30:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1110/201928,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,39,87,14,18,0,0,0,0,53,105,158,0.34
Clementi 321,Ne-Zha-2-PG13,2025-03-10T19:45:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6006,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,13,49,12,8,0,2,0,0,25,59,84,0.3
Downtown East,Dragon-Tamil-PG13,2025-03-10T19:45:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1106/118077,Comedy,Tamil,"PG13, Some Coarse Language",154 mins,21-Feb-25,1,123,0,44,0,2,0,0,1,169,170,0.01
JEM,Ne-Zha-2-PG13,2025-03-10T20:15:00,TRUE,https://www.cathaycineplexes.com.sg/ticketing/1110/201664,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,6-Mar-25,24,0,0,0,0,0,0,0,24,0,24,1
Clementi 321,Mickey-17-M18,2025-03-10T20:15:00,FALSE,https://www.cathaycineplexes.com.sg/ticketing/1114/6017,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,6-Mar-25,8,40,4,8,0,2,0,0,12,50,62,0.19
