Location,Movie Name,Timing,Is Premium,Href,Genre,Language,Rating,Runtime,Opening,Occupied Regular,Not Occupied Regular,Occupied Couple,Not Occupied Couple,Occupied Wheelchair,Not Occupied Wheelchair,Occupied Wave,Not Occupied Wave,Total Occupied,Total Not Occupied,Total Seats,Occupancy Rate
Century Square,Ne-Zha-2-PG13,2025-03-24T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13752,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,92,0,4,0,2,0,4,8,102,110,0.07
Clementi 321,Ne-Zha-2-PG13,2025-03-24T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6555,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,55,67,0,0,0,2,0,0,55,69,124,0.44
JEM,Mickey-17-M18,2025-03-24T14:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202739,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,6,78,6,18,0,0,0,0,12,96,108,0.11
JEM,Ne-Zha-2-PG13,2025-03-24T14:15:00,True,https://www.cathaycineplexes.com.sg/ticketing/1110/202528,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,2,4,14,0,0,0,0,4,16,20,0.2
JEM,Dog-Man-PG,2025-03-24T14:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202612,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,4,122,4,28,0,0,0,0,8,150,158,0.05
Downtown East,Mickey-17-M18,2025-03-24T14:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118504,"Sci-Fi, Fantasy",English,"M18, Sexual Scenes",137 mins,06 Mar 2025,2,120,0,42,0,2,0,0,2,164,166,0.01
JEM,Legends-of-the-Condor-Heroes-The-Gallants-PG13,2025-03-24T14:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202742,"Action, Fantasy, Drama",Mandarin,"PG13, Some Violence",146 mins,20 Feb 2025,9,117,6,26,0,0,0,0,15,143,158,0.09
Century Square,Ne-Zha-2-PG13,2025-03-24T14:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13698,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,95,4,6,0,2,0,4,9,107,116,0.08
JEM,Ne-Zha-2-PG13,2025-03-24T14:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202745,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,161,8,28,0,1,0,0,21,190,211,0.1
Clementi 321,Ne-Zha-2-PG13,2025-03-24T14:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6534,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,1,47,4,8,0,2,0,0,5,57,62,0.08
Causeway Point,Ne-Zha-2-PG13,2025-03-24T14:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154971,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,8,136,2,42,0,2,0,0,10,180,190,0.05
Causeway Point,Dog-Man-PG,2025-03-24T14:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/155401,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,7,119,4,50,0,2,0,0,11,171,182,0.06
Clementi 321,Ne-Zha-2-PG13,2025-03-24T15:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6553,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,48,2,10,0,2,0,0,2,60,62,0.03
Causeway Point,Detective-Chinatown-1900-NC16,2025-03-24T15:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154981,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,3,126,0,30,0,0,0,0,3,156,159,0.02
JEM,Ne-Zha-2-PG13,2025-03-24T15:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202542,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,13,161,2,34,0,1,0,0,15,196,211,0.07
Clementi 321,Dog-Man-PG,2025-03-24T15:15:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6541,"Animation, Family, Adventure",English,"PG, Some Intense Sequences",94 mins,13 Mar 2025,3,45,0,12,0,2,0,0,3,59,62,0.05
Causeway Point,Ne-Zha-2-PG13,2025-03-24T15:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1102/154979,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,3,141,8,36,0,0,0,0,11,177,188,0.06
Downtown East,Ne-Zha-2-PG13,2025-03-24T15:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118514,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,124,2,42,0,2,0,0,2,168,170,0.01
Clementi 321,Detective-Chinatown-1900-NC16,2025-03-24T15:30:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6675,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,2,60,0,20,0,2,0,0,2,82,84,0.02
Century Square,Ne-Zha-2-PG13,2025-03-24T15:40:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13706,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,6,92,2,2,0,2,0,4,8,100,108,0.07
Clementi 321,Ne-Zha-2-PG13,2025-03-24T15:45:00,False,https://www.cathaycineplexes.com.sg/ticketing/1114/6550,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,5,69,0,20,0,2,0,0,5,91,96,0.05
JEM,Close-Ur-Kopitiam-PG13,2025-03-24T15:50:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202634,"Drama, Comedy",Mandarin,"PG13, Some Sexual References",106 mins,27 Feb 2025,8,118,2,30,0,0,0,0,10,148,158,0.06
JEM,Ne-Zha-2-PG13,2025-03-24T16:00:00,False,https://www.cathaycineplexes.com.sg/ticketing/1110/202569,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,15,159,6,30,0,1,0,0,21,190,211,0.1
Downtown East,Ne-Zha-2-PG13,2025-03-24T16:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118511,"Animation, Fantasy, Comedy",Mandarin,"PG13, Some Violence",144 mins,06 Mar 2025,0,136,0,42,0,2,0,0,0,180,180,0.0
Downtown East,Novocaine-NC16,2025-03-24T16:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1106/118501,"Action, Comedy, Thriller",English,"NC16, Violence and Coarse Language",120 mins,13 Mar 2025,0,68,0,40,0,1,0,0,0,109,109,0.0
Century Square,Detective-Chinatown-1900-NC16,2025-03-24T16:10:00,False,https://www.cathaycineplexes.com.sg/ticketing/1113/13711,Comedy,Mandarin,"NC16, Some Violence and Coarse Language",137 mins,29 Jan 2025,4,94,0,4,0,2,0,4,4,104,108,0.04
